Hour,Day_Num,Month,Is_Weekend,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,Primary Type,Is_Night,TSNE1,TSNE2,Time_Period
22,5,6,1,6,41.774688341,-87.778697511,8,13,812,64,0,1,ASSAULT,1,0.39873973,7.5062466,Night (8PM-6AM)
11,0,4,0,2,41.782778092,-87.766795876,8,13,812,64,0,0,OTHER OFFENSE,0,-1.7096099,-7.3234506,Day (6AM-8PM)
21,6,3,1,3,41.74935839,-87.610815296,6,6,631,44,0,0,CRIMINAL DAMAGE,1,-3.0158942,11.937658,Night (8PM-6AM)
13,1,5,0,3,41.925078949,-87.673734337,19,32,1931,7,0,0,THEFT,0,11.2192,-4.653252,Day (6AM-8PM)
20,6,5,1,3,41.855709662,-87.709018233,10,24,1024,29,0,0,THEFT,1,4.7072597,13.172297,Night (8PM-6AM)
15,3,5,0,3,41.76012266,-87.621103832,3,6,323,69,0,0,THEFT,0,-4.476676,-8.8958,Day (6AM-8PM)
16,4,5,0,3,41.803194418,-87.703832357,8,14,821,63,0,0,THEFT,0,-1.5404103,-8.914157,Day (6AM-8PM)
19,4,4,0,3,41.788998869,-87.735286501,8,13,813,62,0,0,DECEPTIVE PRACTICE,0,-1.4677291,-8.769136,Day (6AM-8PM)
7,2,10,0,5,41.721487783,-87.641230474,22,21,2223,73,0,0,MOTOR VEHICLE THEFT,0,-5.7863665,4.1696177,Day (6AM-8PM)
15,1,11,0,5,41.747595584,-87.562525675,4,7,422,46,0,0,BURGLARY,0,-10.148315,-1.9676229,Day (6AM-8PM)
0,5,2,1,5,41.776287195,-87.793451073,8,13,812,64,0,0,INTIMIDATION,1,-7.4678693,9.043962,Night (8PM-6AM)
13,6,11,1,5,41.779396292,-87.635035324,7,20,722,68,1,0,WEAPONS VIOLATION,0,-1.6817505,5.2524676,Day (6AM-8PM)
0,2,4,0,3,41.970377425,-87.656248794,20,46,2024,3,0,0,THEFT,1,8.265106,-3.9219222,Night (8PM-6AM)
19,6,10,1,5,41.88991681,-87.719207421,11,27,1122,23,0,0,MOTOR VEHICLE THEFT,0,2.3025684,7.622146,Day (6AM-8PM)
12,2,1,0,3,41.730932134,-87.618557799,6,6,633,44,0,0,CRIMINAL DAMAGE,0,-5.017168,-8.196873,Day (6AM-8PM)
0,1,11,0,6,41.765592306,-87.621145976,3,6,323,69,0,0,ASSAULT,1,-9.392369,-4.939511,Night (8PM-6AM)
17,3,3,0,6,41.716634354,-87.552372642,4,10,431,51,1,0,ASSAULT,0,-3.2179685,-0.7149326,Day (6AM-8PM)
10,2,5,0,3,41.691308512,-87.621032325,5,9,531,49,0,0,CRIMINAL TRESPASS,0,-4.9376717,-8.068335,Day (6AM-8PM)
6,6,6,1,5,41.845018785,-87.623620246,1,3,133,35,0,0,MOTOR VEHICLE THEFT,0,-4.278481,8.21256,Day (6AM-8PM)
17,6,9,1,3,41.812392792,-87.604432604,2,4,221,39,0,0,THEFT,0,-1.4418588,12.343225,Day (6AM-8PM)
8,4,6,0,4,41.870506273,-87.741062716,11,24,1131,25,1,0,PROSTITUTION,0,2.8785572,-0.76565295,Day (6AM-8PM)
18,4,1,0,7,41.886788431,-87.675608369,12,27,1223,28,0,0,ROBBERY,0,0.97672534,-5.3232827,Day (6AM-8PM)
17,3,10,0,6,41.771731133,-87.698846514,8,15,831,66,0,1,BATTERY,0,-11.022511,5.739024,Day (6AM-8PM)
0,6,4,1,5,41.755008548,-87.730148696,8,18,833,65,1,1,OFFENSE INVOLVING CHILDREN,1,-0.5840318,3.2727833,Night (8PM-6AM)
11,1,12,0,3,41.678237739,-87.68073427,22,19,2212,75,1,0,THEFT,0,-3.4305255,2.2221234,Day (6AM-8PM)
11,0,7,0,6,41.769924275,-87.649390681,7,16,724,68,0,1,ASSAULT,0,-10.14545,4.53314,Day (6AM-8PM)
13,3,2,0,3,41.704095629,-87.531658059,4,10,432,52,0,0,CRIMINAL DAMAGE,0,-5.989385,-8.419207,Day (6AM-8PM)
15,3,3,0,6,42.005019524,-87.691000197,24,50,2412,2,0,0,BATTERY,0,7.565732,-1.0250793,Day (6AM-8PM)
9,4,9,0,3,41.662759556,-87.635411324,5,9,523,53,0,0,DECEPTIVE PRACTICE,0,-4.8579955,-9.413326,Day (6AM-8PM)
12,2,8,0,2,41.794372762,-87.580433389,2,5,235,41,0,0,OTHER OFFENSE,0,-8.276984,-8.642856,Day (6AM-8PM)
0,5,8,1,6,41.927556138,-87.702394408,14,1,1414,22,0,1,STALKING,1,2.8331442,6.260799,Night (8PM-6AM)
23,1,1,0,5,41.833667467,-87.685190333,9,12,911,59,0,0,MOTOR VEHICLE THEFT,1,-4.296039,-1.9356216,Night (8PM-6AM)
20,4,7,0,2,41.967601456,-87.688872115,19,40,1911,4,0,0,PUBLIC PEACE VIOLATION,1,10.540031,-6.48393,Night (8PM-6AM)
9,5,7,1,3,41.716517432,-87.622731926,5,9,511,49,0,0,CRIMINAL DAMAGE,0,-3.4459283,11.395398,Day (6AM-8PM)
18,2,2,0,5,41.658307797,-87.638057607,5,9,523,53,0,0,MOTOR VEHICLE THEFT,0,-7.513622,-1.1810931,Day (6AM-8PM)
22,6,12,1,5,41.8101127,-87.643149429,9,15,925,61,0,0,MOTOR VEHICLE THEFT,1,-8.666736,7.2006726,Night (8PM-6AM)
0,6,11,1,2,41.810453067,-87.593347577,2,4,222,39,0,1,OTHER OFFENSE,1,-0.19071947,6.0316567,Night (8PM-6AM)
0,4,9,0,7,41.776966216,-87.587232499,3,5,314,42,0,0,SEX OFFENSE,1,-10.0903,-4.883986,Night (8PM-6AM)
17,1,1,0,7,41.880897604,-87.686424474,11,27,1125,28,0,0,ROBBERY,0,1.2246158,-5.414438,Day (6AM-8PM)
16,3,6,0,3,41.924228431,-87.747117979,25,31,2522,19,0,0,THEFT,0,13.530985,1.5106331,Day (6AM-8PM)
12,5,6,1,3,41.852001972,-87.688617027,10,28,1023,31,0,0,THEFT,0,4.503147,12.452718,Day (6AM-8PM)
6,0,10,0,6,41.751144126,-87.565008216,4,7,422,46,0,1,BATTERY,0,-10.70637,1.8316096,Day (6AM-8PM)
23,5,8,1,2,41.776644021,-87.675052219,7,16,726,67,0,0,OTHER OFFENSE,1,-5.2169356,13.016881,Night (8PM-6AM)
0,6,2,1,6,41.743049589,-87.66482405,6,18,614,71,0,1,BATTERY,1,-0.013572194,7.7512517,Night (8PM-6AM)
17,3,12,0,3,41.795991039,-87.630542489,2,20,225,37,0,0,THEFT,0,-5.5806794,-11.402298,Day (6AM-8PM)
3,5,1,1,6,41.783257718,-87.601129129,3,20,313,42,0,1,ASSAULT,1,-0.49118313,8.926379,Night (8PM-6AM)
0,0,1,0,6,41.861698073,-87.711628831,10,24,1021,29,0,0,BATTERY,1,2.7786117,-6.629332,Night (8PM-6AM)
20,4,12,0,5,41.735168068,-87.703214727,8,18,834,70,0,0,MOTOR VEHICLE THEFT,1,-4.487776,-2.1186166,Night (8PM-6AM)
23,2,2,0,5,41.78169406,-87.593084365,3,20,314,42,0,0,BURGLARY,1,-9.698401,-0.31090885,Night (8PM-6AM)
23,5,7,1,5,41.732734716,-87.552701548,4,10,423,46,1,0,MOTOR VEHICLE THEFT,1,-2.3944373,5.07331,Night (8PM-6AM)
8,3,8,0,5,41.731190829,-87.603827294,6,8,633,44,1,0,WEAPONS VIOLATION,0,-2.2207985,-0.08087258,Day (6AM-8PM)
23,6,5,1,5,41.748198024,-87.647613159,6,17,621,71,0,0,MOTOR VEHICLE THEFT,1,-7.7321596,6.684258,Night (8PM-6AM)
12,3,1,0,3,41.946353091,-87.797238382,16,38,1632,17,0,0,THEFT,0,6.309274,-7.4467793,Day (6AM-8PM)
14,5,1,1,3,41.885659873,-87.647808795,12,27,1214,28,0,0,CRIMINAL DAMAGE,0,3.9069588,13.202428,Day (6AM-8PM)
13,5,8,1,3,41.92966081,-87.684153345,14,32,1432,22,0,0,THEFT,0,4.9898367,12.190663,Day (6AM-8PM)
19,3,2,0,3,41.736277427,-87.62510451,6,21,634,44,0,0,THEFT,0,-4.126827,-11.529353,Day (6AM-8PM)
5,5,11,1,6,41.766086124,-87.650501797,7,16,733,68,0,1,BATTERY,1,0.17093286,7.856364,Night (8PM-6AM)
3,1,12,0,3,41.835340755,-87.637686062,9,11,915,60,0,0,THEFT,1,-3.4722626,-6.2372055,Night (8PM-6AM)
7,6,5,1,3,41.896774009,-87.640942565,18,27,1823,8,0,0,DECEPTIVE PRACTICE,0,9.384865,7.9367537,Day (6AM-8PM)
15,6,10,1,6,41.74519462,-87.58583056,4,8,411,45,0,0,ASSAULT,0,-4.285306,6.6784887,Day (6AM-8PM)
6,6,1,1,5,41.799215094,-87.619339832,2,3,231,40,0,0,MOTOR VEHICLE THEFT,0,-4.358664,8.278186,Day (6AM-8PM)
