Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo
41.979006297,-87.906463155,1,OTHER OFFENSE,3,1,4
41.910557078,-87.672880906,0,DECEPTIVE PRACTICE,0,0,2
41.780487636,-87.632636659,0,THEFT,2,0,0
41.89499875,-87.746419366,0,BATTERY,1,0,1
41.841950095,-87.60945163,1,CONCEALED CARRY LICENSE VIOLATION,2,0,3
41.812693935,-87.731254831,0,DECEPTIVE PRACTICE,7,0,0
41.883055996,-87.682304458,0,CRIMINAL DAMAGE,1,0,1
41.726261285,-87.660364023,1,BATTERY,6,0,5
41.939262335,-87.71335694,0,THEFT,1,0,1
41.774319025,-87.605795029,1,THEFT,2,0,3
41.893941929,-87.637759383,0,CRIMINAL DAMAGE,0,0,6
41.688690532,-87.663494297,0,CRIMINAL DAMAGE,6,0,5
41.911402836,-87.626419612,0,THEFT,0,0,6
41.934336165,-87.639896955,0,THEFT,0,0,2
41.7418103,-87.738406767,0,WEAPONS VIOLATION,7,0,0
41.886899743,-87.734054792,0,THEFT,1,0,1
41.876168106,-87.726429446,0,DECEPTIVE PRACTICE,1,0,1
41.781217946,-87.764294424,0,CRIMINAL DAMAGE,7,0,0
41.995604995,-87.67276379,0,MOTOR VEHICLE THEFT,4,0,2
41.978839194,-87.65788403,0,THEFT,4,0,2
41.964042841,-87.652374226,0,ASSAULT,4,0,2
41.794533814,-87.631438536,0,THEFT,2,0,3
41.904547804,-87.630003419,0,THEFT,0,0,6
41.917243399,-87.688085703,0,THEFT,1,0,2
41.807895698,-87.721671344,0,BATTERY,7,0,0
41.898371115,-87.625185932,0,ASSAULT,0,0,6
41.875961578,-87.697886382,0,BURGLARY,1,0,1
41.823263415,-87.62158954,1,BATTERY,2,0,3
41.684663397,-87.628870501,0,CRIMINAL DAMAGE,6,0,5
41.794533814,-87.631438536,0,BATTERY,2,0,3
41.784769664,-87.770543997,0,BATTERY,7,0,0
41.751457646,-87.552892516,1,OTHER OFFENSE,5,0,7
41.923783122,-87.778448036,0,ASSAULT,3,0,4
41.795954456,-87.698747007,0,ROBBERY,7,0,0
41.990041584,-87.65891695,0,BATTERY,4,0,2
41.772998982,-87.576478539,0,THEFT,5,0,7
41.891990384,-87.611461502,1,CRIMINAL TRESPASS,0,0,6
41.856915067,-87.664770117,0,WEAPONS VIOLATION,0,0,6
41.705020646,-87.65112634,0,THEFT,6,0,5
41.937992567,-87.807570184,0,ASSAULT,3,0,4
41.766211951,-87.637172391,0,MOTOR VEHICLE THEFT,2,0,0
41.864332575,-87.68434839,0,OTHER OFFENSE,1,0,1
