Hour,Day_Num,Month,Is_Weekend,Is_Night,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,PC1,PC2,Primary_Type
16,0,7,0,0,5,41.861407008,-87.658133845,12,28,1233,28,0,0,0.4337274339674774,-1.6394703457093924,DECEPTIVE PRACTICE
0,6,12,1,1,8,41.851044582,-87.691129874,10,25,1034,30,0,0,0.11478298958631486,2.639901249920717,THEFT
17,0,1,0,0,7,41.858177245,-87.72860019,10,24,1012,29,0,0,0.3582230099884884,-1.4783483631617125,MOTOR VEHICLE THEFT
11,1,4,0,0,3,41.887902159,-87.636903101,18,42,1831,8,0,0,2.017518409829548,-1.3697765966979611,BURGLARY
16,0,3,0,0,7,41.764767468,-87.624890245,3,6,323,69,0,0,-2.7534545293167754,-1.4791707463328316,CRIMINAL DAMAGE
20,5,8,1,1,6,41.873845465,-87.763183491,15,29,1522,25,0,0,1.5270155305428472,1.9571844569201589,BATTERY
22,4,3,0,1,6,41.856581054,-87.719985296,10,24,1014,29,1,1,0.17238578746095598,0.30259240305349266,ASSAULT
18,4,12,0,0,3,41.901170711,-87.771693958,15,29,1511,25,0,0,1.7797193009196408,-0.4087712439821918,THEFT
12,6,7,1,0,3,41.743240897,-87.603797174,6,8,632,44,0,1,-2.136522949955845,2.1101772992641576,THEFT
12,4,8,0,0,3,41.883216931,-87.628673023,1,34,111,32,0,0,-0.8234084965608929,-0.37912541740209144,ASSAULT
3,5,9,1,1,3,41.953885576,-87.65453007,19,46,1923,6,0,0,2.7328384838485396,1.916676025665291,OTHER OFFENSE
2,3,12,0,1,3,41.760081493,-87.561203395,3,7,334,43,1,0,-2.5685481973272783,-0.2947176895056916,THEFT
11,2,6,0,0,3,41.975469804,-87.734093075,17,39,1712,13,1,0,2.6943056777776784,-1.0212718659002542,THEFT
20,3,1,0,1,4,41.886850504,-87.620700551,1,42,114,32,1,0,-0.6363465659445369,-0.43310057313983313,ASSAULT
18,4,7,0,0,6,41.872145726,-87.722935381,11,24,1133,26,1,0,0.6241529400748272,-0.21854502009045812,THEFT
23,5,5,1,1,6,41.858649552,-87.695675409,10,24,1022,29,0,0,0.23815554456854715,1.9104775205095985,BATTERY
11,5,12,1,0,4,41.854587258,-87.732165161,10,24,1012,29,1,0,0.4761439566927428,1.5921685382553188,OTHER OFFENSE
12,2,10,0,0,3,41.692833841,-87.60431945,5,9,531,50,0,1,-2.6240597956274887,-0.7917858715366145,ASSAULT
4,4,8,0,1,5,41.800776752,-87.657472405,9,20,934,61,0,0,-1.0259560808871777,0.20845390414676204,BURGLARY
7,1,8,0,0,3,41.980791917,-87.666134923,20,48,2013,77,0,0,1.945745421320744,-1.3123763287917574,THEFT
20,0,9,0,1,3,41.86514333,-87.732481131,10,24,1011,29,0,0,0.5132847616543251,-1.4904540978342093,MOTOR VEHICLE THEFT
19,0,3,0,0,6,41.750617628,-87.645630459,6,17,621,71,0,0,-2.0017936697346435,-1.574893336296894,CRIMINAL DAMAGE
9,2,2,0,0,3,41.703496822,-87.625149423,5,9,512,49,0,0,-2.2672331491308335,-0.9619277680495695,CRIMINAL DAMAGE
1,3,7,0,1,3,41.953403504,-87.748438872,16,45,1634,15,0,0,2.6827580117758347,-0.2334190891983888,ASSAULT
12,3,4,0,0,3,41.931574051,-87.711516699,14,35,1412,22,0,0,1.7110512781984935,-0.6746583327046108,MOTOR VEHICLE THEFT
16,4,5,0,0,5,41.749982305,-87.644024788,6,17,621,71,0,0,-1.9699656981324127,-0.23909891891694623,CRIMINAL DAMAGE
11,0,8,0,0,6,41.89962607,-87.672754798,12,36,1212,24,0,0,0.9638964920054608,-1.522491156092659,MOTOR VEHICLE THEFT
0,3,1,0,1,5,41.976847046,-87.842706989,16,41,1614,76,0,0,2.157619704465997,-0.018996257260831904,OTHER OFFENSE
0,1,5,0,1,3,41.877726094,-87.628737019,1,4,113,32,0,0,-1.7756448816896928,-0.9171963683948158,THEFT
23,4,10,0,1,3,41.874498877,-87.713957534,11,28,1133,27,0,1,0.5977491801479151,0.07376972765020492,OTHER OFFENSE
0,6,4,1,1,6,41.777984888,-87.739832354,8,13,813,64,0,1,-1.2426141155503028,2.8212618293773333,BATTERY
12,5,9,1,0,3,41.883173608,-87.741570031,11,28,1113,25,0,0,1.0188757019667938,1.532899596459666,OTHER OFFENSE
9,1,1,0,0,6,41.763504118,-87.695449074,8,18,831,66,0,0,-1.2858783493458001,-1.0870684685158654,THEFT
14,4,3,0,0,6,41.839991916,-87.72565211,10,22,1031,30,0,0,0.2299421148893605,-0.13949125651368124,MOTOR VEHICLE THEFT
18,1,10,0,0,3,41.930946496,-87.788962647,25,36,2512,19,0,0,3.5814972197951267,-1.421126166561615,BURGLARY
10,0,1,0,0,4,41.717775119,-87.614037164,5,9,511,49,1,0,-2.293183092723023,-1.6055218229330674,OTHER OFFENSE
0,5,12,1,1,3,41.757234418,-87.650276775,6,17,612,71,0,0,-1.848271341740542,1.9853043838651794,BURGLARY
4,4,8,0,1,6,41.880180784,-87.694657201,11,27,1125,27,0,1,0.3859056995294602,0.5041407977464789,CRIMINAL DAMAGE
13,2,3,0,0,4,41.759538642,-87.605423219,3,6,323,69,1,0,-2.782262948425109,-0.9649634166783468,BATTERY
6,6,1,1,0,5,41.938911911,-87.795723934,16,38,1632,17,0,0,2.626128347583384,2.117618746878216,SEX OFFENSE
8,3,7,0,0,3,41.815221883,-87.72199049,8,14,821,57,0,0,-0.7677354795156421,-0.6040391238326546,DECEPTIVE PRACTICE
10,2,4,0,0,2,41.967007592,-87.727991211,17,39,1722,14,0,0,2.640584382278045,-1.0574999004505843,DECEPTIVE PRACTICE
23,6,9,1,1,3,41.801709383,-87.596697686,2,5,233,41,0,0,-2.271798163130015,2.0253724885687836,BURGLARY
22,2,9,0,1,3,41.938536771,-87.729631491,25,31,2523,21,0,0,3.107848231472236,-0.8258413324916317,MOTOR VEHICLE THEFT
0,1,2,0,1,3,41.985889024,-87.777066756,16,45,1622,11,0,0,3.06396092596535,-0.8842677526027861,THEFT
21,5,11,1,1,6,41.896810209,-87.749161243,15,37,1531,25,0,0,1.804865214484849,1.922429946684447,THEFT
18,1,12,0,0,3,41.992826037,-87.700694442,24,50,2413,2,0,0,3.9668948999680644,-1.477210454907282,ASSAULT
16,1,7,0,0,6,41.75160043,-87.667113761,6,17,611,71,0,1,-2.0557862565287155,-0.9617677087620219,OTHER OFFENSE
19,5,12,1,0,5,41.882407184,-87.686468002,12,27,1223,28,1,0,0.6967448507773301,1.5417955680944375,MOTOR VEHICLE THEFT
12,0,11,0,0,4,41.890222244,-87.765215781,15,37,1523,25,1,0,1.8906276636291928,-1.6519517783551747,BATTERY
14,4,11,0,0,2,41.953438388,-87.746133511,17,45,1731,15,0,1,2.671581936510705,-0.20168159798900445,ASSAULT
