Cluster,total_crimes,arrest_rate,top_crime
0,9125,13.5,THEFT
1,8297,21.4,BATTERY
2,6773,13.1,BATTERY
3,4750,15.0,THEFT
4,6359,12.3,THEFT
5,4461,13.1,BATTERY
6,5134,15.4,BATTERY
7,5101,14.7,THEFT
