Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo,Crime_Severity_Score
41.881961095,-87.699483103,1,ROBBERY,1,0,1,7
41.906506796,-87.760839427,1,CRIMINAL TRESPASS,3,0,1,3
41.742527775,-87.54887474,1,OTHER OFFENSE,5,0,7,2
41.7223745,-87.625066721,0,THEFT,6,0,5,3
41.969078381,-87.65560801,0,ASSAULT,4,0,2,6
41.879890416,-87.630832031,0,THEFT,0,0,6,3
42.007919177,-87.665351128,0,MOTOR VEHICLE THEFT,4,0,2,5
41.909664252,-87.742728815,0,THEFT,1,0,1,3
41.923381416,-87.723071953,0,BURGLARY,1,0,1,5
41.865406824,-87.732489678,0,BURGLARY,1,0,1,5
41.772121953,-87.618650577,0,CRIMINAL DAMAGE,2,0,3,3
41.849139968,-87.701502901,0,BATTERY,1,0,1,6
41.828364832,-87.639955731,0,CRIMINAL DAMAGE,2,0,3,3
41.877822179,-87.655181405,0,THEFT,0,0,6,3
41.915798196,-87.726524412,0,BATTERY,1,0,1,6
41.732836393,-87.573187615,0,THEFT,5,0,7,3
41.77089081,-87.591115388,0,BURGLARY,5,0,7,5
41.885481891,-87.627935689,1,INTERFERENCE WITH PUBLIC OFFICER,0,0,6,2
41.868699038,-87.625858624,0,BATTERY,0,0,6,6
41.857155485,-87.640966299,1,ASSAULT,0,0,6,6
41.781424188,-87.613230939,1,BATTERY,2,0,3,6
41.880731604,-87.628828854,0,CRIMINAL TRESPASS,0,0,6,3
41.89318177,-87.6345943,0,BATTERY,0,0,6,6
41.91904583,-87.77433341,0,ASSAULT,3,0,4,6
41.87521997,-87.717409422,0,ASSAULT,1,0,1,6
41.851959522,-87.625481536,0,BURGLARY,0,0,3,5
41.917590457,-87.750955858,0,ASSAULT,3,0,1,6
41.881441785,-87.667837814,0,BATTERY,0,0,6,6
41.85636929,-87.704173788,0,THEFT,1,0,1,3
41.962876488,-87.719007339,0,THEFT,4,0,1,3
41.797238042,-87.699607176,0,BATTERY,7,0,0,6
41.952149368,-87.698824938,0,BATTERY,4,0,1,6
41.772399064,-87.649756647,1,OTHER OFFENSE,2,0,0,2
41.870822616,-87.7187477,0,THEFT,1,0,1,3
41.713879007,-87.629683319,0,THEFT,6,0,5,3
41.909959349,-87.638555401,0,DECEPTIVE PRACTICE,0,0,6,3
41.938047244,-87.803346673,0,BATTERY,3,0,4,6
41.893748693,-87.628123871,0,MOTOR VEHICLE THEFT,0,0,6,5
41.892781593,-87.70647202,0,BATTERY,1,0,1,6
41.756931257,-87.58740596,0,CRIMINAL SEXUAL ASSAULT,5,0,7,8
41.756689862,-87.663593994,1,THEFT,6,0,0,3
41.726136224,-87.573819759,0,MOTOR VEHICLE THEFT,5,0,7,5
41.917690985,-87.680850277,0,CRIMINAL SEXUAL ASSAULT,4,0,2,8
41.65662616,-87.6023347,0,OTHER OFFENSE,6,0,5,2
41.869641758,-87.715524423,0,CRIMINAL DAMAGE,1,0,1,3
41.691593256,-87.644787652,0,THEFT,6,0,5,3
41.895513392,-87.710742689,0,BATTERY,1,0,1,6
41.903558474,-87.624864127,0,CRIMINAL DAMAGE,0,0,6,3
41.777289278,-87.689153236,0,BATTERY,7,0,0,6
41.883500187,-87.627876698,1,ASSAULT,0,0,6,6
41.968250044,-87.7273433,0,THEFT,4,0,1,3
41.683791957,-87.645387019,1,BATTERY,6,0,5,6
41.885734355,-87.763896747,0,OTHER OFFENSE,3,0,1,2
41.759557851,-87.605423002,0,DECEPTIVE PRACTICE,2,0,3,3
41.838765851,-87.662643463,0,ROBBERY,0,0,3,7
41.778923107,-87.706192581,0,OTHER OFFENSE,7,0,0,2
41.797936811,-87.606301777,0,OTHER OFFENSE,2,0,3,2
41.882013096,-87.628370441,0,THEFT,0,0,6,3
41.68985501,-87.624299546,1,NARCOTICS,6,0,5,4
41.946145384,-87.655667162,0,BATTERY,4,0,2,6
41.871986359,-87.694639649,0,BATTERY,1,0,1,6
41.825326577,-87.724106755,0,BATTERY,7,0,1,6
